PrimaryAC	SecondaryACs	TaxID	GeneName	Synonyms
Q6GZX4		654924		
Q6GZX3		654924		
Q197F8		345201		
Q197F7		345201		
Q6GZX2		654924		
Q6GZX1		654924		
Q197F5		345201		
Q6GZX0		654924		
Q91G88		176652		
Q6GZW9		654924		
Q6GZW8		654924		
Q197F3		345201		
Q197F2		345201		
Q6GZW6		654924		
Q91G85		176652		
Q6GZW5		654924		
Q197E9		345201		
Q6GZW4		654924		
Q6GZW3		654924		
Q197E7		345201		
Q6GZW2		654924		
Q6GZW1		654924		
Q6GZW0		654924		
Q6GZV8		654924		
Q6GZV7		654924		
Q6GZV6		654924		
Q6GZV5		654924		
Q6GZV4		654924		
Q197D8		345201		
Q6GZV2		654924		
Q197D7		345201		
Q6GZV1		654924		
Q197D5		345201		
Q91G70		176652		
Q6GZU9		654924		
Q6GZU8		654924		
Q197D2		345201		
Q6GZU7		654924		
Q91G67		176652		
Q197D0		345201		
Q6GZU6		654924		
Q6GZU5		654924		
Q6GZU4		654924		
Q197C8		345201		
Q91G65		176652		
Q6GZU3		654924		
Q6GZU2		654924		
Q91G63		176652		
Q6GZU1		654924		
Q6GZU0		654924		
Q197C3		345201		
Q6GZT9		654924		
Q6GZT7		654924		
Q6GZT6		654924		
Q197C0		345201		
Q91G57		176652		
Q6GZT5		654924		
Q6GZT4		654924		
Q91G56		176652		
Q91G55		176652		
Q6GZT3		654924		
Q197B6		345201		
Q6GZN9		654924		
Q91G54		176652		
Q6GZT1		654924		
Q197B5		345201		
Q6GZT0		654924		
Q6GZS9		654924		
Q6GZS8		654924		
Q6GZS7		654924		
Q91G50		176652		
Q197B1		345201		
Q6GZS6		654924		
Q6GZS5		654924		
Q6GZS4		654924		
Q197A7		345201		
Q6GZS3		654924		
Q6GZS2		654924		
Q197A6		345201		
Q6GZS1		654924		
Q67475		654924		
Q6GZR9		654924		
O55703		176652		
Q197A3		345201		
Q6GZR8		654924		
Q6GZR7		654924		
Q6GZR6		654924		
O55704		176652		
Q6GZR4		654924		
O55705		176652		
Q196Z8		345201		
O55706		176652		
Q196Z6		345201		
Q6GZR1		654924		
Q6GZR0		654924		
Q91G40		176652		
Q6GZQ9		654924		
Q6GZQ7		654924		
O55709		176652		
Q6GZQ6		654924		
Q6GZQ5		654924		
O55710		176652		
Q6GZQ4		654924		
Q6GZQ3		654924		
Q196Y8		345201		
Q6GZQ2		654924		
Q196Y7		345201		
Q6GZQ1		654924		
Q6GZQ0		654924		
Q196Y5		345201		
Q6GZP9		654924		
Q6GZP8		654924		
Q196Y3		345201		
Q6GZP7		654924		
Q6GZP6		654924		
Q196Y0		345201		
Q196X9		345201		
Q6GZP4		654924		
Q196X8		345201		
O55713		176652		
O55714		176652		
O55715		176652		
Q6GZP1		654924		
Q6GZT2		654924		
Q6GZN8		654924		
Q6GZN7		654924		
Q196X1		345201		
Q6GZN6		654924		
Q6GZN3		654924		
Q196W8		345201		
Q6GZN2		654924		
Q6GZN1		654924		
O55717		176652		
Q196W5		345201		
O55718		176652		
Q6GZN0		654924		
O55719		176652		
Q6GZM9		654924		
Q6GZM8		654924		
Q6GZM7		654924		
P0C9F0		561445		
P0C9F1		10500		
P0C9F2		561443		
P0C9E9		561444		
Q65209		10498		
P0C9F4		561445		
P0C9F5		10500		
P0C9F6		561443		
P0C9F3		561444		
Q65210		10498		
P0C9F8		561445		
P0C9F9		10500		
P0C9G0		561443		
P0C9F7		561444		
O55722		176652		
Q196V8		345201		
Q196V7		345201		
Q4U9M9		5874		
P15711	Q4N2B5	5875		
O55723		176652		
A9CBA2		189830		
O55724		176652		
Q9VJ04	Q9VJ05	7227		
O55725		176652		
Q196V2		345201		
Q43495		4081		
Q60888	B9EJ08,Q7TRA8,Q8VEP7	10090	Or10d1b	Mor224-8,Olfr149,Olfr7
Q8VBW9		10090	Or10h28	Mor267-1,Olfr63
Q6V4H0		4058	10HGO	
P0DO85		28545	10H	
Q60885	Q8VGC0	10090	Or10p22	Mor269-3,Olfr9
P0C9J4		561445		
